# latent-dirac antiproton yield table v1
# generator = engine/yieldgen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = proton
# primary_momentum_gev_c = 26
# n_primaries = 2000000
# target = iridium cylinder r_mm=1.5 half_length_mm=27.5
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
0.000484633,0.000488674,0.0275,0.392025,0.359916,7.61341
-0.0011032,0.000249992,0.0275,-0.165527,0.0335057,3.46252
0.00102521,-0.00109496,0.0132436,0.435094,-0.427941,2.34575
0.000223384,0.00121713,0.0275,-0.0319799,0.124323,2.57242
0.00149992,1.5681e-05,0.0205345,0.179697,-0.0690891,2.92837
-0.000861097,-0.000963093,0.0275,-0.330141,-0.283104,5.75386
0.00149055,0.000168091,-0.0183387,0.472262,0.0241198,2.36033
-0.000616625,0.000108802,0.0275,-0.32814,0.0619624,3.18995
-0.00138866,0.000567121,0.0203698,-0.333681,0.100666,6.20716
-0.00104969,-5.05233e-05,0.0275,-0.795976,-0.0479937,5.32276
0.000780124,0.00128117,-0.0224769,0.169721,0.23769,0.486637
0.00146149,0.000337692,0.0153138,0.611115,0.147546,2.61173
-0.00138321,-0.000580293,0.014213,-0.293997,-0.129334,1.1578
-0.00104914,0.000298331,0.0275,-0.4231,0.0386844,4.92248
0.0014971,9.32459e-05,-0.000817047,0.805951,0.031598,1.22354
0.000306446,-0.00146836,0.0164635,-0.0355632,-0.224697,0.45894
-0.000107606,8.35274e-05,0.0275,-0.129714,0.124247,3.29038
6.28736e-05,0.00149868,0.00790217,0.0449599,0.215199,2.09732
-0.00104738,0.00107378,0.0187199,-0.146797,0.137546,4.14593
0.00106518,-0.00105612,-0.00163043,0.57653,-0.572516,3.59084
-0.000154996,-0.00149197,0.020478,-0.0456699,-0.0610015,2.4482
-0.000318601,-0.00146577,-0.00946374,-0.138635,-0.681949,1.72348
0.000169716,0.000785131,0.0275,0.0908659,0.708535,2.54962
-0.000948993,0.00116164,-0.0120276,-0.415787,0.522024,3.17075
-0.000432799,-0.00143621,-0.0127459,-0.271157,-0.727275,6.02968
-0.000676488,0.000340224,0.0275,-0.0403633,0.0481699,2.56835
0.00133912,0.000675841,0.0149752,0.351266,0.148527,2.44168
0.00101594,0.00110357,0.0055251,0.177395,0.209125,1.75952
0.00115349,-0.000709412,0.0275,0.333981,-0.181876,3.0191
-7.78618e-05,-0.000617332,0.0275,-0.0930076,-0.651496,3.68026
-0.00131301,0.000725253,0.00510833,-0.473624,0.231808,2.48133
0.000475731,0.00062343,0.0275,0.301113,0.417269,4.00196
-0.00149872,-6.20335e-05,0.00335972,-0.653511,-0.0168304,1.72505
-0.0012593,-0.00081496,-0.0167358,-1.10164,-0.66347,5.20059
-0.0014574,8.25765e-05,0.0275,-0.243912,0.0541177,4.29561
-0.000615466,-0.00136792,0.0112652,-0.231282,-0.360127,2.74544
0.00140324,-0.000530029,-0.00329893,0.228555,-0.0779006,3.38815
0.000901787,0.0010687,0.0275,0.188586,0.246284,9.78499
0.000441108,-0.00143367,0.0232958,0.0501783,-0.284118,3.69683
0.000647895,0.00135286,-0.00808803,0.230931,0.41811,3.89575
-0.000865142,-0.000116223,0.0275,-0.159412,0.0276778,4.96494
6.17149e-05,0.00110352,0.0275,0.0266937,0.269931,1.79352
-0.00145685,-0.000357186,0.00234922,-0.41505,-0.127481,1.176
0.0014855,-0.000208051,0.0158447,0.253458,0.016725,4.43197
-0.000105867,-0.00149626,0.0219686,-0.0451516,-0.387985,2.15189
-0.0010588,0.00106252,0.0260886,-0.160134,0.169236,2.25844
-0.00142361,-0.00047257,0.0147767,-0.674474,-0.202301,2.51564
0.000478044,-0.000175989,0.0275,0.141684,-0.0272903,8.19809
-1.74744e-05,6.85346e-05,0.0275,-0.126849,0.0861462,4.67991
0.00133053,0.000231791,0.0275,0.337715,0.0710887,2.6902
0.00046069,0.0014275,0.000426157,0.099424,0.356499,2.11267
-0.000606706,-0.00137183,0.0185017,-0.0969404,-0.33069,3.35046
-0.000230579,-0.000342739,0.0275,-0.720591,-0.830704,10.4243
0.000381976,-0.00145055,0.0123365,0.12767,-0.295766,3.6602
-0.000785053,-0.00127816,0.0036539,-0.151607,-0.153638,4.06116
-0.000215533,0.000140549,0.0275,-0.22491,0.184755,3.26039
-0.00144789,0.000391925,-0.0101668,-0.303032,0.104216,1.95848
-0.00148888,-0.000182286,-0.00181562,-0.309965,0.0104827,2.97099
-0.000461225,-0.00125264,0.0275,0.219552,-0.182985,2.90876
-0.000594361,0.00137722,-0.00926824,-0.203994,0.545948,1.62203
0.00148672,0.000199157,0.00261568,0.22971,0.0612077,1.94374
-0.00108132,0.00103959,0.0112023,-0.369773,0.347154,2.35765
-0.00116756,-0.000941705,0.0252113,-0.444285,-0.470502,4.65153
0.000598335,-0.0013755,0.0174387,0.247551,-0.504999,3.67811
-0.000103111,-0.000269302,0.0275,0.0108867,-0.0679753,2.59438
-0.000531189,-0.0014028,0.010834,-0.0240527,-0.185541,0.948638
0.000160895,0.00149135,0.00527909,0.0640351,0.593619,3.83207
0.000552868,0.00139439,0.0194985,0.19997,0.471639,4.07493
0.00140503,0.000525258,0.00917143,0.3681,0.113197,3.76696
0.00105512,-1.79915e-05,0.0275,0.112761,-0.00304121,1.62119
5.63495e-05,0.000408855,0.0275,-0.00178978,0.170225,8.82003
-1.84151e-05,9.50053e-05,0.0275,0.0410949,0.0433377,4.19828
6.97062e-05,0.00149838,0.0239968,0.0904174,0.543203,2.78592
0.000343509,-0.00146014,-0.0205876,0.106953,-0.563003,1.91
-0.000161204,-0.00149131,0.0127528,-0.0524733,-0.226771,6.41809
0.000314932,0.00146657,0.00945816,0.122112,0.636854,0.653118
-0.000231935,-0.00148196,0.0209986,-0.0197772,-0.197242,2.31414
0.000814431,0.00125964,-0.000628438,0.195388,0.31836,3.25096
-0.000371515,0.00145326,0.0111539,-0.0891034,0.280339,1.67985
0.000214438,-0.00148459,0.0116303,0.156191,-0.938433,3.39619
0.00107846,-0.00104255,0.0240603,0.228667,-0.266838,5.34144
-0.000143098,0.000976151,0.0275,0.0129777,0.174357,5.67925
0.00132879,0.000695926,0.0249309,0.307226,0.224488,4.87112
-2.96321e-05,0.00149971,-0.00537138,-0.000328819,0.812491,1.05744
0.000266246,0.00147618,0.00229572,0.0393794,0.214754,1.88313
0.00124711,0.0008335,0.0041568,0.561791,0.4142,7.35799
0.00147381,0.000279089,0.0126763,0.496421,0.0645211,2.93847
3.16202e-05,-0.000124982,0.0275,0.0801106,-0.174498,2.78129
-0.000703123,0.001325,-0.0162488,-0.304851,0.532437,3.84301
0.000309236,0.00128414,0.0275,0.000613723,0.102273,4.36281
0.000926743,0.00117947,-0.0130101,0.437048,0.623267,4.13834
0.00145128,-0.000379173,0.0214903,0.292472,-0.101755,1.17434
0.00147655,-0.000264181,0.0247935,0.516273,-0.0498663,0.401358
-0.00086578,0.00122492,0.0181258,-0.368168,0.436606,3.95944
-0.00102662,2.08752e-06,0.0275,-0.354785,-0.000973784,7.59318
7.35e-05,0.0014982,-0.0134686,-0.0360805,0.204037,1.2467
-0.000165613,-0.000243049,0.0275,-0.0674631,-0.17432,1.99256
-0.000463762,-0.00142651,-0.00638999,-0.119725,-0.304064,5.82152
-0.00148449,0.000215145,0.00146211,-0.479924,0.0923129,2.43294
-0.00149968,3.09059e-05,0.018194,-0.210168,-0.0337152,7.38048
0.00146261,-0.000332805,-0.00852521,0.773452,-0.169868,3.7431
-0.000235125,0.000188385,0.0275,-0.23586,0.139227,6.96092
0.000374734,-0.00145244,0.0114894,0.14473,-0.55191,2.94235
-0.00149763,-8.42142e-05,-0.00931845,-0.627204,-0.0533819,4.58731
-0.00105865,0.00106267,0.0032252,-0.370618,0.387072,2.01134
0.000408681,-0.00137439,0.0275,0.193266,-0.464484,4.96633
-3.71609e-05,-0.00149954,0.0164229,-0.0246495,-0.50888,1.61012
0.000444481,-9.7077e-05,0.0275,0.0131167,-0.0778022,5.15352
-0.00149419,0.000131938,-0.00483512,-0.521739,0.0720267,2.80182
-0.00149999,5.79257e-06,0.022188,-0.238158,0.00460966,3.26776
3.72997e-05,-0.00149954,0.0188095,0.0727725,-0.405511,1.46837
-0.00104618,-0.00107495,0.0167036,-0.517789,-0.545609,3.7753
0.00116853,-0.000323087,0.0275,0.498973,-0.1406,6.27631
-0.000926494,0.000960827,0.0275,-0.150096,0.141379,5.00178
0.00135246,0.00064874,0.00565635,0.140102,0.0574999,2.15225
0.00148787,0.0001904,0.00263635,0.471028,0.0983355,8.70877
0.000362688,9.04656e-05,0.0275,0.299007,0.150566,2.36205
0.000202613,3.75455e-05,0.0275,0.541311,0.131455,4.43184
-0.00135363,-0.000646277,0.0135322,-0.453447,-0.349819,6.50365
-0.000148129,-0.00149267,0.025455,-0.0694669,-0.317426,6.63076
0.00147615,-0.00026643,-0.0173438,1.15848,-0.204171,4.35225
0.000958071,-0.00115417,0.025409,0.237655,-0.373851,9.68489
0.00147033,-0.000273533,0.0275,0.313419,-0.0906137,5.87218
-0.00132059,0.000711358,-0.00789403,-0.226705,0.259659,-0.0593313
-0.000864439,-0.00105544,0.0275,-0.273433,-0.324445,4.03033
0.000463146,0.00142671,0.00814024,0.305535,1.0129,8.03043
-0.000517735,0.00140782,-0.0146883,-0.109106,0.342842,2.08968
0.00130226,0.000744387,-0.0210013,0.517035,0.302557,1.23864
0.00149509,0.000121304,-0.00937924,0.267625,0.0395867,1.90706
-0.000601525,0.00137411,0.023683,0.118483,0.40239,0.988935
-0.00146559,0.000319465,0.00370811,-0.350274,0.0996208,3.34482
0.000595821,0.00137659,0.0271413,0.0598909,0.143929,2.82486
0.00024022,-9.91428e-05,0.0275,-0.028524,-0.0834038,3.42892
0.000957667,0.000171458,0.0275,0.0675865,0.00556255,1.81011
0.00115978,7.18415e-06,0.0275,0.310575,-0.030245,2.99877
0.00149531,-0.000118511,0.00881297,0.573123,-0.0386456,8.6048
-0.00118323,-0.000921936,0.0185793,-0.164859,-0.0698737,4.11702
0.000803859,0.000969307,0.0275,0.233055,0.297532,4.66768
-0.000731433,-0.00130958,0.0160406,-0.145936,-0.174101,5.07083
-0.000660085,-0.00134696,0.0178512,-0.0702362,-0.114303,2.76935
-0.000948385,0.00116214,0.000891305,-0.32009,0.43107,5.39698
-0.00149094,0.000164595,0.0209469,-0.206925,0.0216194,3.44252
0.000432161,0.0014364,0.0157474,0.136861,0.476069,6.38137
-0.000272659,-0.000866237,0.0275,-0.119771,-0.285435,3.32742
0.00130024,0.000747907,0.002664,0.428762,0.207791,5.47042
-0.000108361,0.00149608,0.0207934,-0.0336007,0.541161,2.78478
0.000269955,1.33439e-05,0.0275,0.161409,-0.308353,4.57867
-0.000971023,0.000957216,0.0275,-0.102838,0.021851,1.62139
0.000431298,-0.000945111,0.0275,0.200121,-0.453451,5.03322
0.00149769,-8.32929e-05,0.0217213,0.442628,-0.0161665,2.5223
-0.00107636,0.00104472,0.00147175,-0.07066,0.194741,1.51658
0.000466505,0.00142561,-0.0046941,0.174268,0.497029,3.39083
0.000805647,-0.00126528,0.0232783,0.729768,-1.13961,4.78475
-0.00042998,-0.00143705,0.0128669,-0.144068,-0.552032,3.78276
-0.00120337,-0.00089549,-0.00851138,-0.673895,-0.49144,7.3123
0.000270873,0.00147534,0.00829308,0.0528403,0.349753,2.97469
0.00119926,0.000376536,0.0275,0.105222,0.0235127,4.63794
-0.000897455,-0.000417344,0.0275,-0.236836,-0.152169,2.72007
-0.000305491,-0.000998261,0.0275,-0.00970472,-0.118952,4.9218
-0.000866186,-0.00122463,0.00220965,-0.189811,-0.290644,4.96503
-4.70218e-05,-9.01634e-05,0.0275,0.270818,-0.750388,3.25999
0.000424801,-0.000203407,0.0275,0.180288,-0.088982,6.99549
-0.00143194,-0.000446705,-0.0133957,-0.334778,-0.0785353,3.00125
-0.000637647,0.000664253,0.0275,-0.0850192,0.133396,3.53882
5.06297e-06,-0.000213454,0.0275,0.0399754,-0.162098,3.88594
-0.00145525,-0.000363678,-0.00419896,-0.748469,-0.17778,2.95552
0.00139497,0.000551405,0.00277249,0.384899,0.173168,2.62796
9.05633e-05,0.00149726,0.0139653,-0.0106507,0.254917,1.0254
-0.00127874,-0.000784102,0.014714,-0.413766,-0.279528,4.41464
-0.00014231,-0.00149323,-0.0154799,-0.008299,-0.278158,1.86113
-0.0012067,-0.000890997,0.00789797,-0.0146572,-0.0366063,1.42174
0.000215973,-0.000922091,0.0275,-0.00408058,-0.307176,7.33922
0.000437283,-0.000397563,0.0275,0.123832,-0.0780068,4.13625
0.00113355,-0.000982382,-0.00787024,0.374989,-0.333576,2.09431
0.00131483,-0.000721949,-0.010795,0.697081,-0.42375,2.4593
0.000276082,-0.00147437,0.0122399,0.128015,-0.57815,5.6297
-0.00140538,0.000524327,0.0197689,-0.379076,0.131838,4.91452
-0.000896202,0.00120284,0.0232502,-0.209121,0.232347,2.21147
0.00128818,0.000768496,0.0210173,0.985163,0.358609,9.67651
0.000307296,-0.00146819,0.0193232,0.079415,-0.478938,8.07538
0.000611976,-0.00136948,0.0247314,0.22138,-0.570167,3.46121
0.00103884,-0.00108204,0.0243698,0.194568,-0.252179,3.87797
-0.00136939,-0.00015664,0.0275,-0.347125,-0.0161425,4.0108
0.000218602,0.00148399,0.0244257,0.0642831,0.141041,1.74018
-0.000842656,0.00104306,0.0275,-0.314696,0.43597,5.67809
0.000739165,-0.00130523,-0.0121196,0.200174,-0.0410287,1.10232
-0.000139387,0.000538715,0.0275,-0.127111,0.452732,2.03465
0.00127237,-0.000794408,0.0171994,0.0904727,-0.15667,5.20092
-0.000295123,0.00147068,0.0043703,-0.160055,0.659671,2.51161
-0.00113637,-0.000979108,-0.00270326,-0.235746,-0.145285,1.22822
0.000361075,-0.000595526,0.0275,0.0913763,-0.134631,1.90201
-0.00036715,0.0011767,0.0275,-0.0964139,0.342701,3.17405
0.00143323,-0.000442557,0.00207963,0.268308,-0.147873,5.41551
-0.000346048,-0.00145954,0.0234091,-0.0210251,-0.278588,2.24479
0.000674824,-0.00133963,0.00219794,0.312203,-0.5591,1.64821
-0.000758384,0.00129416,0.0109043,-0.246855,0.499941,1.316
0.000693251,-0.00133019,0.013783,0.120539,-0.241534,1.35289
-0.000863748,-0.00122635,-0.00481864,-0.415364,-0.33532,9.0079
-0.000618078,-0.00136674,0.0111371,-0.222207,-0.698464,3.71374
-0.00124727,-0.000833264,0.00940612,-0.437765,-0.341654,6.76222
-0.000660004,0.000795606,0.0275,-0.245472,0.377286,3.57033
0.000612009,0.00136947,0.026393,0.124161,0.316336,3.61191
-2.04853e-05,-1.37674e-05,0.0275,-0.0879159,-0.194501,5.50103
-0.00120401,-0.000894625,0.00734764,-0.288486,-0.244169,2.44491
-0.000182587,-0.00148885,-0.00425482,-0.0874505,-0.695656,4.72559
0.000412864,-0.00144206,0.0260682,0.217831,-0.870266,6.33788
-0.00149928,4.65621e-05,0.007804,-0.361235,-0.0154868,0.427494
-0.00147915,0.000249219,-0.00135068,-0.368363,0.00263737,3.22728
-0.000605109,-0.00137253,0.0214707,-0.42944,-1.1376,3.83863
0.00123389,-0.000852947,-0.0114189,0.270547,-0.191401,1.18703
-0.00112468,-0.000992525,0.0141467,-0.316983,-0.190699,0.82423
-0.00139589,-0.000549087,-0.0140284,-0.20687,-0.0992823,0.751865
0.000281607,0.00147333,0.00193881,0.0522237,0.207237,1.9487
0.00114953,0.000963634,-0.0164736,0.255885,0.502955,2.22237
-6.18212e-05,0.00068253,0.0275,-0.0245537,0.247086,3.17983
-0.000367194,-0.000191399,0.0275,-0.0537117,-0.060067,2.22984
-0.00100784,-0.00111097,-0.0122648,-0.46918,-0.458742,2.40126
-0.000736022,-0.00130701,-0.0160277,-0.332388,-0.572572,1.83007
-8.4059e-05,-0.000391861,0.0275,-0.156775,-0.263157,8.2818
-0.000894674,0.000176608,0.0275,-0.214189,0.0674696,7.52323
-0.000631011,-0.00136082,0.000713735,-0.109903,-0.335665,6.49369
0.00104721,-0.00107394,-0.0173089,0.32677,-0.308294,2.45665
-0.00120137,0.000898167,-0.00514317,-0.575211,0.395237,5.24919
-0.00055585,-0.00139321,0.0022816,-0.134915,-0.323537,1.86864
-0.0013504,0.000653011,-0.0112454,-0.512255,0.238324,3.79059
-0.000601229,-0.00137424,-0.00535852,-0.215717,-0.50335,7.59676
0.000943794,-0.00116587,-0.0128655,0.239087,-0.276428,1.82714
0.00116551,-0.00094424,0.00282909,0.528419,-0.492833,8.79428
-0.00133578,-0.000682412,0.00709062,-0.562692,-0.316952,1.94681
5.58929e-05,3.01077e-05,0.0275,0.862415,-0.18026,6.61652
0.000375316,-0.00145229,0.0265221,0.046017,-0.193528,1.72177
0.000412962,0.000774678,0.0275,0.243805,0.40362,3.26136
0.001486,0.000204484,-0.0109856,0.533458,0.123286,2.91825
0.000851061,0.00123519,0.0274525,0.304737,0.445424,0.87254
-5.7637e-05,-0.00011499,0.0275,-0.242295,-0.403847,5.38696
