# latent-dirac positron yield table v1
# generator = engine/positrongen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = e-
# primary_kinetic_mev = 10
# n_primaries = 10000000
# target = tungsten disc r_mm=5 half_length_mm=1
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
-0.00107469,0.000188947,0.001,0.000177077,0.000740145,0.000313168
-0.00133997,0.00125515,-0.001,-0.00455766,-0.00115672,-0.00361592
0.00208895,-0.00297238,0.001,0.000535101,-0.00250234,0.00390662
-0.000216029,0.000181099,0.001,-0.00130155,0.00063827,0.000398621
0.00194401,-0.00175261,0.001,0.00141407,-0.000433028,0.00228526
-4.26875e-05,0.000236698,0.001,-0.000344599,0.000160761,0.00272943
0.000178584,-0.000239263,0.001,0.00130935,-0.000237552,0.00482206
0.000604291,0.000554987,0.001,0.000698812,0.001512,0.00279043
6.99536e-05,-0.00348133,-0.001,-0.000845443,0.00187857,-0.00373165
0.000243764,0.00136018,0.001,0.000395902,0.003809,0.000657336
-0.00197262,0.00228257,0.001,0.00110567,-0.000363756,0.000757282
-7.23035e-05,-7.91708e-05,0.001,0.000129922,0.000608311,0.00161066
0.000725444,-0.000549572,0.001,-0.000131892,-0.00190305,0.000645718
0.000367759,-4.78215e-05,0.001,-0.00291861,0.000379907,0.00209128
-0.000131501,-0.000825115,0.001,0.00125128,0.000477105,0.0019911
-0.000360767,0.00128974,0.001,0.00132361,0.000449505,8.33777e-05
0.00163583,0.00462246,0.001,-0.00279971,-0.000229199,0.00316122
0.00058636,-0.00367758,-0.001,0.0016187,0.000803653,0.00261611
0.000676037,-0.00343889,-0.001,-0.00123357,-0.000631822,-0.00190346
-0.0015402,-0.000820956,0.001,3.33344e-05,-0.00128022,0.000850612
-0.00124117,-0.000892336,0.001,-0.000288906,-0.00263065,0.00128318
-0.00184005,0.000709523,-0.001,0.000851062,0.000367419,-0.001421
-0.000351977,-0.000471327,0.001,-0.00020285,-0.000425776,0.00183179
0.000531922,-0.000705825,0.001,0.000471455,0.000922843,0.00179768
-0.000934624,-0.00066541,0.001,-0.00390597,-0.000967355,0.00296364
0.000426335,0.000517243,0.001,-0.000969202,0.00375288,0.00260945
0.00305936,-0.00135656,0.001,0.0015628,0.000792039,0.000421876
0.000790533,-0.000545317,-0.001,3.89988e-05,-0.000287489,-0.00372275
-0.00106055,-0.00167337,0.001,-4.08963e-05,-0.000167863,0.00167133
-0.00326593,0.000855532,0.001,-0.00270044,-0.000463754,0.000746761
0.000100386,-0.00170203,0.001,0.000448809,-0.000216258,0.00081262
0.000554124,0.00250685,0.001,-0.000128005,-0.00025597,0.00234252
0.000623566,0.00052989,0.001,0.00013513,6.92689e-05,0.000887115
-0.000150634,2.61908e-05,0.001,-0.00131796,-0.000519423,0.00254096
-0.00103655,0.000470906,0.001,0.00057685,-0.000105744,0.00178901
-0.000599905,0.000939672,0.001,0.000601276,-0.000489442,0.000441802
0.00196133,-0.000155941,-0.001,0.000338494,0.00146665,-0.00232919
0.00112182,-0.00224277,0.001,0.00116418,0.000908528,0.0041557
0.000584168,0.00326811,0.001,-0.000152899,0.00102581,0.00253541
0.000254392,-1.83342e-05,0.001,4.85592e-05,-0.00113172,0.00064471
-0.00483152,-0.00128704,-5.84451e-05,-0.00139268,-0.000535417,-0.000361954
0.000346626,0.000103669,0.001,0.000256526,-0.0010636,0.000257676
-0.000652555,0.00157027,0.001,0.00168956,-0.00124542,0.00146791
0.000543776,-0.00126971,0.001,-0.000219528,-0.00147417,0.000558357
0.000783042,0.000607455,0.001,-0.000683778,0.00132792,0.00244123
0.00102808,-0.000840324,0.001,0.000274137,0.000379865,0.000554089
